encode,Keller_TM0829_Droso_PanNeural,bitswap1->lz4,1.01,0.76,0.59,0,8,1493908663
encode,Keller_TM0829_Droso_PanNeural,zcurve_reorder(tile_size=4)->bitswap1->lz4,1.26,2.42,0.67,0,8,1493908663
encode,Keller_TM0829_Droso_PanNeural,raster_reorder(tile_size=16)->bitswap1->lz4,1.15,0.82,0.65,0,8,1493908663
encode,Keller_TM0829_Droso_PanNeural,rmestbkrd->bitswap1->lz4,3.15,2.82,0.67,0,8,1493908663
encode,Keller_TM0829_Droso_PanNeural,quantiser->hevc,3.62,14.95,0.96,0,8,1493908663
decode,Keller_TM0829_Droso_PanNeural,lz4,8.90,0.41,1.08,0,8,1493908680
decode,Keller_TM0829_Droso_PanNeural,quantiser->lz4,2.98,0.37,0.98,0,8,1493908701
decode,Keller_TM0829_Droso_PanNeural,bitswap1->lz4,4.07,1.90,1.01,0,8,1493908702
decode,Keller_TM0829_Droso_PanNeural,frame_shuffle->bitswap1->lz4,4.78,1.94,0.96,0,8,1493908702
decode,Keller_TM0829_Droso_PanNeural,zcurve_reorder(tile_size=16)->bitswap1->lz4,4.85,3.37,1.06,0,8,1493908706
decode,Keller_TM0829_Droso_PanNeural,zcurve_reorder(tile_size=16)->bitswap1->lz4,5.31,3.29,1.22,0,8,1493908706
decode,Keller_TM0829_Droso_PanNeural,quantiser->h264,7.69,1.58,1.00,0,8,1493908705
decode,Keller_TM0829_Droso_PanNeural,raster_reorder(tile_size=16)->bitswap1->lz4,5.33,2.49,1.01,0,8,1493908708
decode,Keller_TM0829_Droso_PanNeural,raster_reorder(tile_size=16)->bitswap1->lz4,7.58,2.70,0.92,0,8,1493908708
decode,Keller_TM0829_Droso_PanNeural,rmestbkrd->bitswap1->lz4,7.41,1.95,0.92,0,8,1493908718
decode,Keller_TM0829_Droso_PanNeural,quantiser->hevc,9.29,4.53,1.12,0,8,1493908718
encode,Keller_TM2497_Droso_HisGFP,lz4,1.44,0.60,0.76,0,8,1493908630
encode,Keller_TM2497_Droso_HisGFP,bitswap1->lz4,1.30,0.97,0.77,0,8,1493908630
encode,Keller_TM2497_Droso_HisGFP,quantiser->lz4,1.35,0.44,0.90,0,8,1493908630
encode,Keller_TM2497_Droso_HisGFP,zcurve_reorder(tile_size=16)->bitswap1->lz4,1.46,3.04,0.82,0,8,1493908630
encode,Keller_TM2497_Droso_HisGFP,rmestbkrd->bitswap1->lz4,3.60,3.25,0.80,0,8,1493908629
encode,Keller_TM2497_Droso_HisGFP,quantiser->h264,1.85,1.77,1.14,0,8,1493908630
encode,Keller_TM2497_Droso_HisGFP,raster_reorder(tile_size=4)->bitswap1->lz4,1.24,1.27,0.70,0,8,1493908639
encode,Keller_TM2497_Droso_HisGFP,zcurve_reorder(tile_size=4)->bitswap1->lz4,1.45,2.94,0.81,0,8,1493908639
encode,Keller_TM2497_Droso_HisGFP,raster_reorder(tile_size=16)->bitswap1->lz4,1.60,1.21,0.84,0,8,1493908639
